backend,GPU,precision,vec_size,routine,BW_GBs
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3494.2979
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3191.0635
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3318.8938
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3611.1099
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3341.6172
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3597.8
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3597.3179
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3686.9963
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3578.376
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3327.121
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3535.9768
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3480.4795
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3612.8108
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3280.1633
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3495.8906
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3606.2585
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3286.9917
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3365.7085
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3411.4768
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3628.683
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3549.5127
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3531.5344
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3551.6262
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3528.7488
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3629.9097
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3607.47
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3477.7964
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3561.073
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3390.5994
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3532.487
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3644.9429
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3663.0977
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3549.771
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3532.0222
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3595.4146
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3623.0752
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3482.308
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3448.2883
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3590.3652
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3668.6294
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3603.354
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3494.0706
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3487.9414
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3518.1118
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3552.331
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3251.753
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3626.722
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3677.4248
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3448.5098
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3619.631
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3201.9116
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3632.8572
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3332.284
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3558.005
Mojo, AMD Instinct MI300A , float64 , 33554432 , Copy , 3659.128
